lawyer_id,case_type,case_duration_months,outcome,client_satisfaction,complexity_score,year
1,Tax Law,21,won,3.758611396771098,7.698246866589599,2021
1,Tax Law,21,won,4.207443063460278,2.0284057005011897,2023
1,Tax Law,11,won,4.84592046359697,5.191301100869318,2022
1,Tax Law,17,won,4.174136448273135,1.295620032190945,2022
1,Tax Law,7,won,3.331026634855948,1.3049124422193548,2020
1,Tax Law,11,won,4.26452857583906,1.1178501092950026,2020
1,Tax Law,17,won,4.92214063493891,2.3379645497780164,2021
1,Tax Law,8,lost,3.004390020662485,6.358465155880394,2020
1,Tax Law,19,won,3.4198111861911715,9.082488604966423,2023
1,Tax Law,17,won,3.07309933569619,5.248602505989993,2023
1,Tax Law,1,won,4.551055233390021,5.079599512732249,2021
1,Tax Law,17,won,3.801526121750652,6.036762981773961,2022
1,Tax Law,8,won,4.723571242027035,9.515039159202695,2023
1,Tax Law,19,won,4.287999086478031,4.678607539882868,2022
1,Tax Law,18,lost,3.733987520023047,4.671860458283602,2020
1,Tax Law,23,won,4.343785487197457,1.1773948397892773,2021
1,Tax Law,5,won,3.3570893241086672,6.874714970666872,2022
1,Tax Law,3,won,3.486344381998908,7.500402386700932,2023
1,Tax Law,16,won,3.79436705923691,7.012766229135815,2020
1,Tax Law,23,won,4.79267163704224,1.1170173115966242,2022
1,Tax Law,21,won,3.053064407747639,2.632918915808176,2023
1,Tax Law,18,won,4.78534342215395,8.356992055645968,2023
1,Tax Law,2,won,3.7261184243901813,1.308052997384762,2023
1,Tax Law,6,won,4.547669046402681,4.2648210519935095,2020
1,Tax Law,20,won,4.94909453039774,8.017828973092277,2020
1,Tax Law,14,lost,2.9421309053876286,2.6389642493942493,2021
1,Tax Law,14,won,4.483373888457331,7.289612678448139,2020
1,Tax Law,22,won,4.290108335538659,4.795335410979536,2021
2,Civil Rights,5,won,3.0367813530949332,9.228689259044492,2020
2,Civil Rights,9,won,3.548110441374412,5.9876020226421405,2020
2,Civil Rights,12,won,3.412842543521206,1.0989624579263242,2020
2,Civil Rights,6,won,4.464369156918124,3.25657594505438,2020
2,Civil Rights,7,won,4.146588756358801,8.542962668604662,2020
2,Civil Rights,14,won,3.09393193355011,2.4965503188047147,2022
2,Civil Rights,21,won,4.206304218932776,3.2081419871318886,2020
2,Civil Rights,11,won,3.7113454329298983,7.471413146658209,2022
2,Civil Rights,22,won,3.9521008043981993,6.973040488263833,2021
2,Civil Rights,1,won,3.53982244478439,5.858585010173741,2022
2,Civil Rights,11,won,4.692815698629115,9.597126814511311,2022
2,Civil Rights,2,won,3.2131965062675434,1.6762400356222789,2020
2,Civil Rights,11,won,4.196572116536309,5.13713361485018,2022
2,Civil Rights,5,won,3.0046787812515565,9.709294493863778,2021
2,Civil Rights,19,won,3.629193113618822,8.266872266350852,2020
2,Civil Rights,10,won,4.381120464891281,5.691706006722125,2023
2,Civil Rights,19,won,4.464449772819123,8.259050330753048,2022
